ranking,releasetime,score,star,title
86,上映时间：2002-05-24(法国),8.9,"主演：阿德里安·布劳迪,艾米莉娅·福克斯,米乔·赞布罗斯基",钢琴家
87,上映时间：2013-10-02(韩国),9.1,"主演：李甄,薛景求,严智苑",素媛
88,上映时间：2005-09-02(意大利),8.9,"主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",断背山
89,上映时间：1994-08-03(美国),8.8,"主演：郎雄,吴倩莲,杨贵媚",饮食男女
90,上映时间：2008-07-14(阿根廷),9.3,"主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",蝙蝠侠：黑暗骑士
91,上映时间：1957-04-13(美国),9.1,"主演：亨利·方达,李·科布,马丁·鲍尔萨姆",十二怒汉
92,上映时间：1998-08-28(英国),8.7,"主演：杰森·弗莱明,德克斯特·弗莱彻,杰森·斯坦森",两杆大烟枪
93,上映时间：2019-03-22,9.4,"主演：拉米·萨义德·马雷克,本·哈迪,约瑟夫?梅泽罗",波西米亚狂想曲
94,上映时间：2003-12-04(美国),8.6,"主演：伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格",大鱼
95,上映时间：2003-11-21(英国),8.6,"主演：休·格兰特,比尔·奈伊,连姆·尼森",真爱至上
96,上映时间：2008-02-10,8.4,"主演：马修·麦克费登,吉娜·马隆,妲露拉·莱莉",傲慢与偏见
97,上映时间：2015-07-21,9.3,"主演：本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪",模仿游戏
98,上映时间：2006-10-17(意大利),8.8,"主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",致命魔术
99,上映时间：2004-09-05(意大利),8.9,"主演：倍赏千惠子,木村拓哉,美轮明宏",哈尔的移动城堡
100,上映时间：2010-02-13(德国),8.7,"主演：莱昂纳多·迪卡普里奥,马克·鲁法洛,本·金斯利",禁闭岛
